coreid,type,identifier,license
57ba086a-bcbb-4b19-8d92-123aa1285214,,https://zenodo.org/record/2684906/files/CAM008517_v.JPG,
ac40f7d4-e752-4ee0-bf56-4727718c2457,,https://zenodo.org/record/2682458/files/CAM000567_v.JPG,
25bb65a3-fda8-416b-8df4-2ef34f051d78,,https://zenodo.org/record/2686762/files/CAM008671_d.JPG,
696cba17-6207-40ec-a0ca-8345e385d705,,https://zenodo.org/record/2707828/files/CAM040271_v.JPG,
576a9169-02ce-408a-a0ac-bcc0a857491b,,https://zenodo.org/record/2707828/files/CAM040248_d.JPG,
7844467a-5ba6-42cb-9601-fc19bf444dee,,https://zenodo.org/record/2682458/files/CAM000902_v.JPG,
2b2e5cfa-1322-44d0-9680-c647826d9f66,,https://zenodo.org/record/2677821/files/CAM000287_v.JPG,
c0af08a0-efae-4566-94bf-e169fa2b7f8e,,https://zenodo.org/record/2714333/files/CAM040795_v.JPG,
916201d3-d59c-48ca-ab95-042218c94080,,https://zenodo.org/record/2686762/files/CAM009233_v.JPG,
513988b3-3706-4a13-a87f-3710a0ad0d4e,,https://zenodo.org/record/2552371/files/8562d.jpg,
6aef0a0d-e8c1-4881-b945-46611b998e03,,https://zenodo.org/record/2682458/files/CAM000502_d.JPG,
2d2be5a4-8384-4167-b200-7dab3145f665,,https://zenodo.org/record/2677821/files/CAM000083_d.JPG,
6a43b97b-2f02-4bca-a704-5cdeedc86767,,https://zenodo.org/record/2677821/files/CAM000077_d.JPG,
e736c293-45ff-4ed3-a541-51b79d45414a,,https://zenodo.org/record/2682458/files/CAM000947_d.JPG,
6fd9e4b7-75e3-40f1-90aa-bba86cb05702,,https://zenodo.org/record/2677821/files/CAM000415_v.JPG,
910869cf-e1a4-4134-b0de-354fb7c651d5,,https://zenodo.org/record/2552371/files/11440v.jpg,
242c4952-b52c-433b-a47b-b9a6240f7fc9,,https://zenodo.org/record/2677821/files/CAM000170_v.JPG,
1f3c5a71-4924-4bae-85b3-df6008387bbe,,https://zenodo.org/record/2714333/files/CAM041296_d.JPG,
27addeb8-97bf-40f8-9380-39f166fa0fb6,,https://zenodo.org/record/2714333/files/CAM040874_v.JPG,
c7806428-9f86-4f2f-981d-6e3f5a64b42d,,https://zenodo.org/record/2707828/files/CAM040434_d.JPG,
6be6c140-1648-496a-822c-f37274865ae5,,https://zenodo.org/record/2707828/files/CAM040470_v.JPG,
fecf8c54-3c52-428f-899f-fa3feba41fbc,,https://zenodo.org/record/2553977/files/DSC_0697.jpg,
454d2be1-c41c-49c1-97b6-765244f24d6d,,https://zenodo.org/record/2714333/files/CAM041063_d.JPG,
202fedbd-4a74-410b-80a1-284bcf7e5e25,,https://zenodo.org/record/2707828/files/CAM040395_d.JPG,
4c2f4ca7-4a73-4af8-8e70-3302bfc6b89e,,https://zenodo.org/record/2684906/files/CAM008232_d.JPG,
3b19a175-b3b2-470a-8a74-329bbb0a41a6,,https://zenodo.org/record/2552371/files/8729d.jpg,
b9509b32-a439-4c21-bd17-482f337c5f21,,https://zenodo.org/record/2707828/files/CAM040211_v.JPG,
6aa17f03-27af-4078-8de9-cae4e191dbf7,,https://zenodo.org/record/2707828/files/CAM040219_v.JPG,
42068122-cea0-4e94-ac12-b88c504b7de1,,https://zenodo.org/record/2686762/files/CAM009167_d.JPG,
c55c98e1-932c-4e4f-977c-11fb3b2076f0,,https://zenodo.org/record/2714333/files/CAM041162_v.JPG,
720d9e53-5863-444c-bfc5-072e83d4a6ff,,https://zenodo.org/record/2684906/files/CAM008476_d.JPG,
8a2f5206-f734-4e1f-a21a-84e8806d22d7,,https://zenodo.org/record/2684906/files/CAM008506_d.JPG,
145e20bf-a6e7-434c-86fc-2cbe24a98768,,https://zenodo.org/record/2677821/files/CAM000471_v.JPG,
9db1320c-24ac-4207-8234-66350347adb7,,https://zenodo.org/record/2686762/files/CAM009238_d.JPG,
eeeed0b0-d07a-4bcc-8d12-8e65c9db9989,,https://zenodo.org/record/2707828/files/CAM040507_v.JPG,
f65c796d-ee8c-4821-8974-fa1c190350a3,,https://zenodo.org/record/2684906/files/CAM008424_d.JPG,
aab00754-9516-41c7-9653-a1b59e51caab,,https://zenodo.org/record/2707828/files/CAM040384_d.JPG,
1d652f16-4cf5-41e7-a1a5-2d913bb393eb,,https://zenodo.org/record/2707828/files/CAM040191_d.JPG,
a91bf781-753f-4ad5-8c63-d3091b4f7640,,https://zenodo.org/record/2714333/files/CAM040778_d.JPG,
1f827764-c50a-44c3-8a97-10ea4be461ef,,https://zenodo.org/record/2714333/files/CAM041097_d.JPG,
b6ea70da-f93c-46ec-b8ea-03e84c41b092,,https://zenodo.org/record/2707828/files/CAM040574_v.JPG,
8e560463-e742-4ada-9f5d-f071aeb1a489,,https://zenodo.org/record/2714333/files/CAM041318_d.JPG,
3b0ee999-0f2d-41b9-a927-d75982a052fa,,https://zenodo.org/record/2714333/files/CAM041116_d.JPG,
2f65d1f0-e419-4f9f-b249-2ce6340f9582,,https://zenodo.org/record/2677821/files/CAM000436_v.JPG,
d163ef62-091a-4165-afea-0f0c8d288f77,,https://zenodo.org/record/2686762/files/CAM008710_v.JPG,
a4721ce2-2e51-4f72-8160-11836e68a5b5,,https://zenodo.org/record/2677821/files/CAM000189_v.JPG,
4abdc627-5eac-4c4c-9956-909e8c5a41aa,,https://zenodo.org/record/2684906/files/CAM008402_d.JPG,
b58f24aa-455e-4c71-b8bc-2e186cef2ba7,,https://zenodo.org/record/2707828/files/CAM040446_v.JPG,
8b84a6f8-afec-4059-8f9d-50716d9bc47c,,https://zenodo.org/record/2714333/files/CAM041218_v.JPG,
cb29f689-938a-4632-bcd2-3834ab0f799a,,https://zenodo.org/record/2707828/files/CAM040275_d.JPG,
193f5f73-6ccc-4283-83c8-de062b28be1a,,https://zenodo.org/record/2684906/files/CAM008546_v.JPG,
2adc312a-f375-435b-a739-e1ecae31408d,,https://zenodo.org/record/2686762/files/CAM008735_d.JPG,
5777d1ad-e75a-491f-a11e-c1b669654461,,https://zenodo.org/record/2702457/files/CAM021228_d.JPG,
