id,occurrenceID,catalogNumber,datasetName,recordNumber,otherCatalogNumbers,basisOfRecord,eventDate,locality,country,decimalLatitude,decimalLongitude,geodeticDatum,year,sex,lifeStage,recordedBy,individualCount,taxonId,scientificName,scientificNameAuthorship,taxonRank,genus,family,order,class,kingdom,coordinateUncertaintyInMeters,dynamicProperties
1453c72a-be5e-4722-80d6-4c06d4929725,1453c72a-be5e-4722-80d6-4c06d4929725,CAM120557,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-11-25,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Female,,,1,,Heliconius melpomene ssp. malleti,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
1453dc9b-abda-4536-bef6-1bd6c1842120,1453dc9b-abda-4536-bef6-1bd6c1842120,CAM002947,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,,"Yasuni Research Station,",Ecuador,-0.6743,-76.3971,4326,,,,,1,1900408,Heliconius wallacei,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
145cf82c-12a1-45fa-be8d-903424312e98,145cf82c-12a1-45fa-be8d-903424312e98,CAM008572,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2002-08-18,"Tarapoto-Yurimaguas (Km15), Tunel Cumbre, Fondo Biodiversidad,",Peru,-6.4584,-76.2877,4326,2002,Male,,,1,1900763,Heliconius aoede,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
145e20bf-a6e7-434c-86fc-2cbe24a98768,145e20bf-a6e7-434c-86fc-2cbe24a98768,CAM000471,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,1998-06-08,"Parcela 33, Villeta - Guaduas 23.6km",Colombia,5.658,-74.5619,4326,1998,Male,,,1,,Heliconius erato ssp. hydara,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
145f06ce-12ab-4101-a1de-54ae48649097,145f06ce-12ab-4101-a1de-54ae48649097,CAM120757,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-12-06,Anangu Boca del Rio ECD OR,Ecuador,-0.5287,-76.3948,4326,2005,Male,,,1,,Mechanitis mazaeus ssp. mazaeus,,Subspecies,Mechanitis,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
1471430e-0338-4da2-8354-1b52948c95fd,1471430e-0338-4da2-8354-1b52948c95fd,CAM040882,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2017-06-07,"Puerto Quito, La Isla",Ecuador,0.11001,-79.23029,4326,2017,Female,,,1,1900787,Heliconius sara,,Species,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
1472b3b5-1c5f-4910-97aa-50a44d25f45e,1472b3b5-1c5f-4910-97aa-50a44d25f45e,CAM008457,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2001-09-03,"Quebrada Hornito Trail, Fortuna,",Panamá,8.6928,-82.2245,4326,2001,Female,,,1,1895200,Greta nero,,Species,Greta,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
148d7161-3e33-4abb-9f02-2f0eb791f4ce,148d7161-3e33-4abb-9f02-2f0eb791f4ce,CAM040008,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2016-01-14,Pto Guzman,Colombia,0.95637,-76.40855,4326,2016,Female,,,1,,Heliconius sara ssp. sara,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
14a995e1-4bc8-4ef9-b588-39007b1fa565,14a995e1-4bc8-4ef9-b588-39007b1fa565,CAM041130,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2018-01-02,Road to Shalcana,Ecuador,-1.0558,-77.70191,4326,2018,Female,,,1,,Heliconius sara ssp. magdalena,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
14c1c34a-7df3-476a-973d-1b25d5980100,14c1c34a-7df3-476a-973d-1b25d5980100,CAM020883,Heliconiine Butterfly Collection Records from University of Cambridge,,,PreservedSpecimen,2005-12-28,Boqueron,Colombia,4.25,-74.55,4326,2005,Male,,,1,,Heliconius melpomene ssp. melpomene,,Subspecies,Heliconius,Nymphalidae,Lepidoptera,Insecta,Animalia,,{}
